exterior_color,interior_color,drivetrain,MPG,fuel_type,transmission,engine,VIN,stock,mileage,names,description,prices
Summit White,Black,Four-wheel Drive,–,Gasoline,6-Speed Automatic,6.6L V8 16V GDI OHV,2GC4YME79P1731662,C3131,3 mi.,2023 Chevrolet Silverado 2500 Custom,"2023 Chevrolet Silverado 2500HD Custom 4D Crew Cab 6.6L V8 4WD 6-Speed Automatic, 4WD, Black Cloth.","$54,865"
Midnight Emerald,Saddle,All-wheel Drive,–,Hybrid,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo Hybrid,SJAAT2ZV7PC019709,23B6205,797 mi.,2023 Bentley Bentayga Hybrid Azure,"Bentley Beverly Hills is proud to present this 2023 Bentley Bentayga Azure in Midnight Emerald and Saddle. Bentley Beverly Hills is part of O'Gara Coach Company, the leading Factory Authorized Dealer for Aston Martin, Automobili Pininfarina, Bentley, Bugatti, Koenigsegg, Lamborghini, McLaren, Rimac …","$246,150"
Lunar Silver Metallic,Black,FWD,–,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H50PH714500,STK714500,2 mi.,2023 Honda CR-V Hybrid Sport,"This CR-V Hybrid is in transit. We are happy to reserve this CR-V Hybrid for you however we are waiting on it just like you are. Please reach out for more details. Here are the features we have for this CR-V Hybrid : 2.0L I4 DOHC 16V, 4.438 Axle Ratio, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Ad …","$34,245"
Carpathian Grey,Ebony,Four-wheel Drive,–,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,SALCT2FX3PH919614,J23014,"13,615 mi.",2023 Land Rover Discovery Sport S R-Dynamic,"South Shore Protection Package includes: Standard Paint Protection Plan for 1 Year, Nitrogen Tire Inflation, 1 Year Tire road hazard damage warranty, 1 Year LoJack Stolen Vehicle Recovery. This vehicle is nicely appointed with: 20 'Style 5089' Gloss Grey Wheels, Cold Climate Pkg, Blind Spot Assist P …","$45,995"
Sterling Gray Metallic,Jet Black,Four-wheel Drive,–,Diesel,10-Speed Automatic with Overdrive,3.0L I6 24V DDI DOHC Turbo Diesel,1GNSKTKT3PR367211,T230903,2 mi.,2023 Chevrolet Tahoe High Country,"Sterling Gray Metallic 2023 Chevrolet Tahoe High Country 4WD 10-Speed Automatic with Overdrive 3.0L I6 4WD, Jet Black/Mocha Leather. Recent Arrival! 20/26 City/Highway MPG","$82,360"
Inferno Red,Black,Front-wheel Drive,–,Gasoline,IVT,2.0L I4 16V MPFI DOHC,KNDJ23AU8P7201986,K23517,10 mi.,2023 Kia Soul LX,"Inferno Red 2023 Kia Soul LX FWD IVT 2.0L I4 DOHC $5000.00 Market Adjustment. Customers residing outside of Turner Kias market area will be subject to a $5000.00 market adjustment increase. Residents of Dauphin, Cumberland, York, Lancaster, Perry, Adams and Lebanon counties will not be subject to th …","$21,720"
Snow White Pearl,Black,Front-wheel Drive,29–39,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,3KPF54AD2NE492100,K3453,0 mi.,2022 Kia Forte GT-Line,All sales prices include current Kia Cash Back incentives.,"$24,485"
Silver Birch Metallic,–,Rear-wheel Drive,17–25,Gasoline,4-Speed Automatic,4.6L V8 16V MPFI SOHC,2MEFM75W44X634065,634065,"76,547 mi.",2004 Mercury Grand Marquis LS Premium,CARFAX 1-Owner vehicle Personal vehicle No accidents or damage reported to CARFAX Clean frame very low miles .,"$6,895"
Red,Gray,Four-wheel Drive,16–21,Gasoline,6-Speed Automatic,5.0L V8 32V MPFI DOHC,1FTMF1EF7EFC75534,19458A,"91,000 mi.",2014 Ford F-150 STX,"5.0L V8 OHV 16V, STX 4WD REG CAB SHORT BOX, REMOTE START, VERY NICE TRUCK! CALL BRANDON TODAY TO SCHEDULE YOUR TEST DRIVE! HERE AT R21 - WE ARE EXTREMELY PROUD MAINTAINING OUR DIVERSE SELECTION OF TRUCKS & VEHICLES TO THE PUBLIC. ASK ABOUT THE ADVANTAGES OF OUR TRUCK FINANCING PROGRAM & NATIONWIDE E …","$17,995"
Black Obsidian,Graphite,Four-wheel Drive,13–19,Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AZ2BEXM9272527,272527CA1,"31,384 mi.",2021 INFINITI QX80 SENSORY,"Priced below KBB Fair Purchase Price! Black Obsidian 2021 INFINITI QX80 Sensory 4D Sport Utility 4WD 7-Speed Automatic 5.6L V8 Front and rear parking sensors, Blind spot warning, Keyless start, Lane keep assist, 360 view camera w/MOD, 3rd row seats: split-bench, A/V remote, Adaptive Cruise Control, …","$53,890"
Aegean Blue Metallic,Black,Front-wheel Drive,30–36,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H45HU403584,HU403584,"66,328 mi.",2017 Honda Civic Sport,"NON SMOKER, PRICED BELOW THE MARKET, FRESH DETAIL, APPLE CAR PLAY / ANDROID AUTO, BACKUP CAMERA, ALLOY WHEELS, POWER WINDOWS, POWER LOCKS, FUEL EFFICIENT, PERFECT FIRST CAR, GREAT ON GAS, CALL BEFORE IT IS GONE, CHEAP PAYMENTS, WORKS WITH ALL CRE …","$19,619"
